No,Family/Species,Common name,Conservation status,Legal protection,,,,,
1,Platysternon megacephalum,Big- headed Turtle,CR (2021),EN,I,X,IB,X,X
2,Cuora amboinensis,Malayan Box Turtle,EN (2020),VU,II,,IIB,,
3,Cuora galbinifrons,Indochinese Box Turtle,CR (2020),EN,II,X,IB,X,X
4,Cuora bourreti,Bourret's Box Turtle,CR (2020),EN,I,,IB,X,
5,Cuora picturata,Southern Vietnam Box Turtle,CR (2020),EN,I,,IB,X,
6,Cuora mouhotii,Keeled Box Turtle,EN (2020),,II,,IIB,,
7,Cuora cyclornata,Vietnamese Three-striped Box Turtle,CR (2020),CR,II,X,IB,X,X
8,Cyclemys oldhamii,Southern Asian Leaf Turtle,EN (2021),,II,,IIB,,
9,Cyclemys pulchristriata,Eastern Black-bridged Leaf Turtle,EN (2021),,II,,IIB,,
10,Cyclemys atripons,Western Black-Bridged Leaf Turtle,EN (2021),,II,,,,
11,Geoemyda spengleri,Black-breasted Leaf Turtle,EN (2020),,II,,IIB,,
12,Heosemys grandis,Giant Asian Pond Turtle,CR (2021),VU,II,,IIB,,
13,Heosemys annandalii,Yellow-headed Temple Turtle,CR (2021),EN,II,,IIB,,
14,Malayemys subtrijuga,Mekong Snail-eating Turtle,NT (2021),VU,II,,IIB,,
15,Mauremys annamensis,Vietnamese Pond Turtle,CR (2020),CR,I,X,IB,X,X
16,Mauremys mutica,Asian Yellow Pond Turtle,CR (2021),,II,,IIB,,
17,Mauremys sinensis,Chinese Striped-neck Turtle,CR (2021),,III,,,,
18,Sacalia quadriocellata,Four-eyed Turtle,CR (2021),,II,,IIB,,
19,Siebenrockiella crassicollis,Black Marsh Turtle,EN (2021),,II,,IIB,,
20,Indotestudo elongata,Elongated Tortoise,CR (2019),EN,II,,IIB,,
21,Manouria impressa,Impressed Tortoise,EN (2021),VU,II,,IIB,,
22,Amyda ornata,Asiatic Softshell Turtle,VU (2016),VU,II,,IIB,,
23,Palea steindachneri,Wattle-necked Softshell Turtle,CR (2021),VU,II,,IIB,,
24,Pelochelys cantorii,Cantor's Giant Softshell Turtle,CR (2021),EN,II,X,IB,X,X
25,Pelodiscus variegatus,Spotted Softshell Turtle,,,,,,,
26,Rafetus swinhoei,Swinhoe's Softshell Turtle,CR (2021),CR,II,X,IB,X,X
