STT,Họ/Loài,Tên thường gọi,Hiện trạng bảo tồn,Luật pháp bảo vệ,,,,,
1,Platysternon megacephalum,Rùa đầu to,CR (2021),EN,I,X,IB,X,X
2,Cuora amboinensis,Rùa hộp lưng đen,EN (2020),VU,II,,IIB,,
3,Cuora galbinifrons,Rùa hộp trán vàng miền Bắc,CR (2020),EN,II,X,IB,X,X
4,Cuora bourreti,Rùa hộp trán vàng miền Trung,CR (2020),EN,I,,IB,X,
5,Cuora picturata,Rùa hộp trán vàng miền Nam,CR (2020),EN,I,,IB,X,
6,Cuora mouhotii,Rùa sa nhân,EN (2020),,II,,IIB,,
7,Cuora cyclornata,Rùa hộp ba vạch,CR (2020),CR,II,X,IB,X,X
8,Cyclemys oldhamii,Rùa đất Sê-pôn,EN (2021),,II,,IIB,,
9,Cyclemys pulchristriata,Rùa đất Pul-kin,EN (2021),,II,,IIB,,
10,Cyclemys atripons,Rùa đất A-tri-pôn,EN (2021),,II,,,,
11,Geoemyda spengleri,Rùa đất Speng-lơ,EN (2020),,II,,IIB,,
12,Heosemys grandis,Rùa đất lớn,CR (2021),VU,II,,IIB,,
13,Heosemys annandalii,Rùa răng,CR (2021),EN,II,,IIB,,
14,Malayemys subtrijuga,Rùa ba gờ,NT (2021),VU,II,,IIB,,
15,Mauremys annamensis,Rùa Trung Bộ,CR (2020),CR,I,X,IB,X,X
16,Mauremys mutica,Rùa câm,CR (2021),,II,,IIB,,
17,Mauremys sinensis,Rùa cổ sọc,CR (2021),,III,,,,
18,Sacalia quadriocellata,Rùa bốn mắt,CR (2021),,II,,IIB,,
19,Siebenrockiella crassicollis,Rùa cổ bự,EN (2021),,II,,IIB,,
20,Indotestudo elongata,Rùa núi vàng,CR (2019),EN,II,,IIB,,
21,Manouria impressa,Rùa núi viền,EN (2021),VU,II,,IIB,,
22,Amyda ornata,Ba ba Nam Bộ,VU (2016),VU,II,,IIB,,
23,Palea steindachneri,Ba ba gai,CR (2021),VU,II,,IIB,,
24,Pelochelys cantorii,Giải,CR (2021),EN,II,X,IB,X,X
25,Pelodiscus variegatus,Ba ba bụng đốm,,,,,,,
26,Rafetus swinhoei,Giải Sin-hoe,CR (2021),CR,II,X,IB,X,X
